Country,Temperature,Error_range
Svalbard and Jan Mayen,5.45,0.81
Canada,3.64,0.24
Greenland,3.57,0.75
Denmark,3.56,0.74
Iran,3.52,0.37
Russia,3.39,0.28
United Arab Emirates,3.36,0.57
Afghanistan,3.32,0.34
Qatar,3.3,0.49
Turkmenistan,3.19,0.26
Belarus,3.16,0.21
Norway,3.15,0.37
Bahrain,3.13,0.55
Tunisia,3.12,0.31
Slovenia,3.07,0.28
Latvia,3.05,0.26
Finland,3.03,0.27
?land,3.01,0.24
Estonia,3.01,0.27
Lithuania,2.98,0.23
Oman,2.96,0.52
Sweden,2.95,0.27
Mongolia,2.92,0.35
Netherlands (Europe),2.92,0.21
Austria,2.9,0.28
Netherlands,2.89,0.21
Algeria,2.86,0.28
Denmark (Europe),2.86,0.23
Kuwait,2.86,0.65
San Marino,2.86,0.3
Belgium,2.84,0.2
Liechtenstein,2.83,0.31
Luxembourg,2.83,0.19
Switzerland,2.83,0.23
Croatia,2.82,0.31
Germany,2.81,0.21
Poland,2.79,0.23
France (Europe),2.77,0.22
Monaco,2.76,0.3
Andorra,2.75,0.29
Malta,2.74,0.41
Czech Republic,2.73,0.26
Pakistan,2.72,0.28
Uzbekistan,2.72,0.29
Morocco,2.71,0.23
Tajikistan,2.66,0.28
Ukraine,2.66,0.21
Italy,2.64,0.22
Bosnia and Herzegovina,2.61,0.3
France,2.6,0.21
Saudi Arabia,2.58,0.5
Azerbaijan,2.57,0.35
Spain,2.57,0.24
Hungary,2.55,0.23
Iraq,2.54,0.45
Libya,2.54,0.63
Slovakia,2.51,0.25
Guernsey,2.5,0.28
Jersey,2.5,0.28
Yemen,2.5,0.55
Western Sahara,2.49,0.69
Kazakhstan,2.48,0.26
Kyrgyzstan,2.47,0.24
North Korea,2.44,0.23
Armenia,2.38,0.29
Moldova,2.38,0.23
Iceland,2.37,0.44
United States of America,2.36,0.13
Saint Pierre and Miquelon,2.35,0.43
United Kingdom (Europe),2.35,0.26
Portugal,2.32,0.27
Isle of Man,2.3,0.29
United Kingdom,2.3,0.26
Djibouti,2.29,0.44
Eritrea,2.29,0.39
Mauritania,2.28,0.63
Niger,2.27,0.64
Serbia,2.27,0.27
Ethiopia,2.19,0.25
Romania,2.18,0.19
Montenegro,2.14,0.25
Somalia,2.14,0.5
Georgia,2.1,0.26
Jordan,2.1,0.29
Cape Verde,2.09,0.57
China,2.09,0.23
Chad,2.07,0.6
Gaza Strip,2.05,0.21
Sudan,2.04,0.22
Egypt,2.03,0.33
Ireland,2.03,0.36
Israel,2.03,0.21
Macedonia,2.03,0.3
Mauritius,2.03,0.27
Bulgaria,2.01,0.25
Reunion,2,0.27
South Korea,2,0.21
Tanzania,1.98,0.27
Albania,1.97,0.28
Lebanon,1.97,0.19
Syria,1.95,0.19
Malawi,1.94,0.33
Mali,1.94,0.45
Madagascar,1.93,0.35
Comoros,1.92,0.32
Cyprus,1.92,0.33
Anguilla,1.91,0.31
Saint Barth��lemy,1.91,0.31
Saint Martin,1.91,0.31
Sint Maarten,1.91,0.31
Burundi,1.9,0.24
Mayotte,1.89,0.34
British Virgin Islands,1.88,0.3
Nigeria,1.88,0.43
Virgin Islands,1.88,0.3
Rwanda,1.87,0.23
Senegal,1.87,0.34
Antigua and Barbuda,1.86,0.28
Gambia,1.86,0.39
Kenya,1.86,0.2
French Guiana,1.85,0.22
Guinea-Bissau,1.85,0.37
Montserrat,1.85,0.28
South Georgia and the South Sandwich Isla,1.85,0.76
Puerto Rico,1.84,0.32
Guadeloupe,1.83,0.28
Saint Kitts and Nevis,1.83,0.27
Benin,1.82,0.42
Sierra Leone,1.82,0.28
Liberia,1.81,0.31
New Caledonia,1.81,0.35
C?te d'Ivoire,1.8,0.29
Guinea,1.8,0.27
Seychelles,1.8,0.46
Burkina Faso,1.79,0.34
Federated States of Micronesia,1.79,0.51
Central African Republic,1.78,0.33
Greece,1.78,0.27
Uganda,1.78,0.17
Zambia,1.77,0.27
Dominica,1.75,0.31
Ghana,1.75,0.37
Martinique,1.75,0.31
Suriname,1.75,0.22
Togo,1.75,0.46
Faroe Islands,1.74,0.63
Kiribati,1.73,0.94
Mozambique,1.73,0.23
Palmyra Atoll,1.72,0.84
Kingman Reef,1.71,0.84
Palestina,1.71,0.3
Brazil,1.7,0.17
Congo (Democratic Republic of the),1.7,0.23
Dominican Republic,1.67,0.33
French Southern and Antarctic Lands,1.67,0.67
Barbados,1.66,0.32
Japan,1.66,0.23
Saint Lucia,1.66,0.3
Nepal,1.65,0.34
Saint Vincent and the Grenadines,1.65,0.3
Grenada,1.62,0.33
Guyana,1.62,0.28
Solomon Islands,1.62,0.5
Angola,1.61,0.34
Cameroon,1.61,0.41
Christmas Island,1.6,0.27
Costa Rica,1.6,0.45
Trinidad and Tobago,1.6,0.37
Turkey,1.6,0.22
French Polynesia,1.58,0.46
Mexico,1.58,0.29
Uruguay,1.56,0.45
Nicaragua,1.55,0.39
Haiti,1.54,0.3
Sao Tome and Principe,1.54,0.4
Bahamas,1.53,0.29
Panama,1.52,0.32
Namibia,1.51,0.72
Turks and Caicas Islands,1.5,0.39
Zimbabwe,1.5,0.22
Heard Island and McDonald Islands,1.49,0.6
Equatorial Guinea,1.48,0.39
Cayman Islands,1.47,0.3
Congo,1.47,0.43
Gabon,1.47,0.45
Cuba,1.46,0.25
Jamaica,1.46,0.26
Taiwan,1.46,0.28
Singapore,1.45,0.22
Honduras,1.44,0.27
India,1.44,0.3
American Samoa,1.43,0.57
"Bonaire, Saint Eustatius and Saba",1.43,0.34
Swaziland,1.43,0.31
El Salvador,1.41,0.3
Samoa,1.41,0.55
Australia,1.4,0.25
Botswana,1.38,0.29
Niue,1.38,0.57
Falkland Islands (Islas Malvinas),1.37,0.38
Sri Lanka,1.37,0.28
Tonga,1.34,0.43
Venezuela,1.33,0.31
Cura?ao,1.32,0.37
Aruba,1.31,0.34
Ecuador,1.31,0.36
Fiji,1.3,0.44
Malaysia,1.27,0.15
Bhutan,1.25,0.6
Guam,1.24,0.33
Northern Mariana Islands,1.24,0.33
Papua New Guinea,1.24,0.27
Belize,1.23,0.26
Colombia,1.23,0.22
South Africa,1.23,0.37
Baker Island,1.22,0.17
Guatemala,1.22,0.3
Indonesia,1.21,0.18
Paraguay,1.18,0.49
Lesotho,1.17,0.38
Argentina,1.11,0.26
Thailand,1.07,0.24
Antarctica,1.05,0.76
Cambodia,1.05,0.27
Burma,0.99,0.3
New Zealand,0.97,0.24
Philippines,0.97,0.27
Chile,0.96,0.37
Laos,0.96,0.28
Peru,0.95,0.34
Palau,0.91,0.27
Vietnam,0.91,0.27
Bangladesh,0.9,0.41
Timor-Leste,0.9,0.41
Hong Kong,0.83,0.27
Macau,0.79,0.29
Bolivia,0.65,0.29
